Event,Type,Begin Date,End Date,CPI-Adjusted Cost
Midwest/Northeast Severe Storms and FloodingJuly 2010,Severe Storm,20-Jul-10,23-Jul-10,1.4
Rockies/Central/East Severe WeatherJune 2010,Severe Storm,10-Jun-10,15-Jun-10,1.3
"Oklahoma, Kansas, and Texas Tornadoes and Severe WeatherMay 2010",Severe Storm,10-May-10,12-May-10,4.8
East/South Flooding and Severe WeatherMay 2010,Flooding,30-Apr-10,02-May-10,3.3
Northeast FloodingMarch 2010,Flooding,01-Mar-10,31-Mar-10,2.7
Northeast Winter StormFebruary 2010,Winter Storm,09-Feb-10,11-Feb-10,1.2
Southwest/Great Plains Drought2009,Drought,01-Jan-09,31-Dec-09,5.2
Western WildfiresSummer-Fall 2009,Wildfire,01-Jun-09,30-Nov-09,1.5
Georgia FloodingSeptember 2009,Flooding,19-Sep-09,22-Sep-09,1.3
Colorado Hail StormJuly 2009,Severe Storm,20-Jul-09,20-Jul-09,1.5
"Midwest, South and East Severe WeatherJune 2009",Severe Storm,09-Jun-09,12-Jun-09,1.9
Central Derecho and TornadoesMay 2009,Severe Storm,07-May-09,09-May-09,1.3
South/Southeast Severe Weather and TornadoesApril 2009,Severe Storm,09-Apr-09,10-Apr-09,2.1
Midwest/Southeast TornadoesMarch 2009,Severe Storm,25-Mar-09,28-Mar-09,2.4
Southeast/Ohio Valley Severe WeatherFebruary 2009,Severe Storm,10-Feb-09,11-Feb-09,2.6
U.S. Drought2008,Drought,01-Jan-08,31-Dec-08,10.5
U.S. WildfiresFall 2008,Wildfire,01-Sep-08,30-Nov-08,1.8
Hurricane IkeSeptember 2008,Tropical Cyclone,12-Sep-08,14-Sep-08,43.2
Hurricane GustavSeptember 2008,Tropical Cyclone,31-Aug-08,03-Sep-08,8.6
Hurricane DollyJuly 2008,Tropical Cyclone,23-Jul-08,25-Jul-08,1.8
Midwest FloodingSummer 2008,Flooding,01-Apr-08,30-Jun-08,14.9
Midwest/Mid-Atlantic Severe WeatherJune 2008,Severe Storm,06-Jun-08,12-Jun-08,2.4
Midwest Tornadoes and Severe WeatherMay 2008,Severe Storm,22-May-08,27-May-08,4.4
Southern Severe WeatherApril 2008,Severe Storm,09-Apr-08,11-Apr-08,1.5
Southeast TornadoesMarch 2008,Severe Storm,14-Mar-08,15-Mar-08,1.7
Southeast Tornadoes and Severe WeatherFebruary 2008,Severe Storm,05-Feb-08,06-Feb-08,1.8
"Western, Central and Northeast Severe WeatherJanuary 2008",Severe Storm,04-Jan-08,09-Jan-08,1.5
Western/Eastern Drought/Heat WaveSummer-Fall 2007,Drought,01-Jun-07,30-Nov-07,5.5
Western WildfiresSummer 2007,Wildfire,01-Jun-07,31-Aug-07,4.1
East/South Severe Weather and FloodingApril 2007,Severe Storm,13-Apr-07,17-Apr-07,3.8
Spring FreezeApril 2007,Freeze,04-Apr-07,10-Apr-07,3.2
California FreezeJanuary 2007,Freeze,11-Jan-07,17-Jan-07,2.2
Numerous Wildfires2006,Wildfire,01-Jan-06,31-Dec-06,2.3
Central Severe WeatherOctober 2006,Severe Storm,02-Oct-06,05-Oct-06,1.4
Midwest/Plains/Southeast DroughtSpring-Summer 2006,Drought,01-Mar-06,31-Aug-06,9.5
North Central Severe Weather and TornadoesAugust 2006,Severe Storm,23-Aug-06,24-Aug-06,1.2
Northeast FloodingJune 2006,Flooding,25-Jun-06,28-Jun-06,2.4
Midwest TornadoesApril 2006,Severe Storm,13-Apr-06,16-Apr-06,3.8
"Midwest/Southeast TornadoesApril 6-8, 2006",Severe Storm,06-Apr-06,08-Apr-06,2.5
Severe Storms and TornadoesMarch 2006,Severe Storm,08-Mar-06,13-Mar-06,2.1
Hurricane WilmaOctober 2005,Tropical Cyclone,24-Oct-05,24-Oct-05,30
Hurricane RitaSeptember 2005,Tropical Cyclone,20-Sep-05,24-Sep-05,29.4
Midwest DroughtSpring-Summer 2005,Drought,01-Mar-05,31-Aug-05,2.4
Hurricane KatrinaAugust 2005,Tropical Cyclone,25-Aug-05,30-Aug-05,201.3
Hurricane DennisJuly 2005,Tropical Cyclone,09-Jul-05,11-Jul-05,4
Southeast Severe WeatherMarch 2005,Severe Storm,24-Mar-05,27-Mar-05,1.4
Hurricane JeanneSeptember 2004,Tropical Cyclone,15-Sep-04,29-Sep-04,12.4
Hurricane IvanSeptember 2004,Tropical Cyclone,12-Sep-04,21-Sep-04,34
Hurricane FrancesSeptember 2004,Tropical Cyclone,03-Sep-04,09-Sep-04,16.3
Hurricane CharleyAugust 2004,Tropical Cyclone,13-Aug-04,14-Aug-04,26.7
Colorado Hail StormsJune 2004,Severe Storm,08-Jun-04,09-Jun-04,1.2
"Severe Storms, Hail, TornadoesMay 2004",Severe Storm,21-May-04,27-May-04,1.7
California WildfiresFall 2003,Wildfire,01-Sep-03,30-Nov-03,6.6
Western/Central Drought/Heat WaveSpring-Fall 2003,Drought,01-Mar-03,30-Nov-03,8.7
Hurricane IsabelSeptember 2003,Tropical Cyclone,18-Sep-03,19-Sep-03,9.3
Southern Derecho and Eastern Severe WeatherJuly 2003,Severe Storm,21-Jul-03,23-Jul-03,1.7
Midwest/Plains Severe WeatherJuly 2003,Severe Storm,04-Jul-03,09-Jul-03,1.5
Severe Storms/TornadoesMay 2003,Severe Storm,03-May-03,10-May-03,7.1
